# Format: quote text | author
# Empty lines and lines starting with # are ignored.
The only way to do great work is to love what you do. | Steve Jobs
Believe you can and you're halfway there. | Theodore Roosevelt
Start where you are. Use what you have. Do what you can. | Arthur Ashe
The secret of getting ahead is getting started. | Mark Twain
Dream big and dare to fail. | Norman Vaughan
It does not matter how slowly you go as long as you do not stop. | Confucius
Change your thoughts and you change your world. | Norman Vincent Peale
Whether you think you can or you think you can't, you're right. | Henry Ford
The best way to predict the future is to create it. | Peter Drucker
If you can dream it, you can do it. | Walt Disney
Imagination is more important than knowledge. | Albert Einstein
The important thing is not to stop questioning. | Albert Einstein
Logic will get you from A to Z; imagination will get you everywhere. | Albert Einstein
I have not failed. I've just found 10,000 ways that won't work. | Thomas Edison
An investment in knowledge pays the best interest. | Benjamin Franklin
Innovation distinguishes between a leader and a follower. | Steve Jobs
If you want to find the secrets of the universe, think in terms of energy, frequency and vibration. | Nikola Tesla
I don't care that they stole my idea. I care that they don't have any of their own. | Nikola Tesla
Of all things, I liked books best. | Nikola Tesla
The present is theirs; the future, for which I really worked, is mine. | Nikola Tesla
A computer would deserve to be called intelligent if it could deceive a human into believing that it was human. | Alan Turing
We can only see a short distance ahead, but we can see plenty there that needs to be done. | Alan Turing
What is proved now was once only imagined. | William Blake
Look deep into nature, and then you will understand everything better. | Albert Einstein
The supreme art of war is to subdue the enemy without fighting. | Sun Tzu
The measure of a man is what he does with power. | Plato
If you want to test a man's character, give him power. | Abraham Lincoln
The unexamined life is not worth living. | Socrates
Man is condemned to be free. | Jean-Paul Sartre
